streichen,to paint / to cancel,"Wir haben das Wohnzimmer hellblau gestrichen.","We painted the living room light blue."
abreisen / anreisen,to depart / to arrive,"Die Gäste sind gestern Abend bereits abgereist.","The guests already departed yesterday evening."
die Bestätigung,the confirmation,"Ich warte noch auf die Bestätigung meiner Buchung.","I am still waiting for the confirmation of my booking."
erfragen,to inquire / find out,"Die genauen Details müssen wir erst noch erfragen.","We still have to inquire about the exact details."
umarmen,to hug,"Sie umarmten sich herzlich zur Begrüßung.","They hugged each other warmly in greeting."
erkunden,to explore,"Wir wollen morgen die Altstadt erkunden.","We want to explore the old town tomorrow."
erben,to inherit,"Er hat das Haus von seinem Großvater geerbt.","He inherited the house from his grandfather."
umfassend,comprehensive,"Das Buch bietet eine umfassende Übersicht.","The book offers a comprehensive overview."
der Auflauf,the casserole / crowd,"Meine Mutter macht den besten Nudelauflauf.","My mother makes the best noodle casserole."
erwischen,to catch / nab,"Ich habe ihn beim Lügen erwischt.","I caught him lying."
das Leder,the leather,"Meine neue Tasche ist aus echtem Leder gefertigt.","My new bag is made of genuine leather."
die Umschreibung,paraphrase / description,"Das Wort ist eine gute Umschreibung für diesen Zustand.","The word is a good description for this condition."
der Auswanderer,the emigrant / expat,"Viele Auswanderer ziehen wegen des Wetters nach Spanien.","Many emigrants move to Spain because of the weather."
hinweisen (auf + Akk),to point out / refer to,"Der Lehrer hat auf die Fehler in der Prüfung hingewiesen.","The teacher pointed out the mistakes in the exam."
verbinden,to connect / link,"Diese Brücke verbindet die beiden Stadtteile.","This bridge connects the two parts of the city."
animieren (zu + Dat),to encourage / animate,"Die Sonne animiert uns zu einem langen Spaziergang.","The sun encourages us to take a long walk."
der Appell,the appeal,"Der Politiker richtete einen dringenden Appell an das Volk.","The politician directed an urgent appeal to the people."
begrenzt,limited / finite,"Die Plätze für den Kurs sind leider stark begrenzt.","The places for the course are unfortunately strictly limited."
der Duft,the fragrance / scent,"Der Duft von frischem Kaffee am Morgen ist herrlich.","The scent of fresh coffee in the morning is wonderful."
der Gipfel,the peak / summit,"Nach fünf Stunden haben wir endlich den Gipfel erreicht.","After five hours we finally reached the summit."
die Offenheit,the openness / candor,"Ich schätze deine Offenheit in dieser schwierigen Angelegenheit.","I appreciate your openness in this difficult matter."
subventionieren,to subsidize,"Der Staat subventioniert umweltfreundliche Technologien.","The state subsidizes environmentally friendly technologies."
der Schatz,the treasure / darling,"Die Kinder suchten im Garten nach einem vergrabenen Schatz.","The children looked for a buried treasure in the garden."
zusammenzählen,to add up,"Wenn man alles zusammenzählt, ist es doch recht teuer.","When you add everything up, it is quite expensive."
die Beschaffung,the procurement,"Die Beschaffung der Materialien dauert länger als geplant.","The procurement of materials is taking longer than planned."
der/die Anhalter/in,the hitchhiker,"Wir haben einen Anhalter mit in die nächste Stadt genommen.","We took a hitchhiker with us to the next city."
solange,as long as,"Solange es regnet, bleiben wir lieber im Haus.","As long as it is raining, we prefer to stay indoors."
die Abfolge,the sequence / order,"Die chronologische Abfolge der Ereignisse ist unklar.","The chronological sequence of events is unclear."
gesellschaftlich,social / societal,"Das ist eine wichtige gesellschaftliche Debatte.","That is an important societal debate."
der/die Einheimische,the local / native,"Die Einheimischen kennen die besten Restaurants der Stadt.","The locals know the best restaurants in the city."
die Ablehnung,the rejection / denial,"Sein Vorschlag stieß leider auf allgemeine Ablehnung.","His proposal unfortunately met with general rejection."
ausnutzen,to exploit / use,"Er hat meine Gutmütigkeit schamlos ausnutzt.","He shamelessly exploited my good nature."
bezweifeln,to doubt / dispute,"Ich bezweifle, dass dieser Plan wirklich funktioniert.","I doubt that this plan will really work."
der Auszug,the excerpt / move-out,"Dies ist ein kurzer Auszug aus seinem neuen Roman.","This is a short excerpt from his new novel."
auszeichnen,to distinguish / award,"Er wurde für seine Leistungen ausgezeichnet.","He was awarded for his achievements."
darüber hinaus,furthermore / besides,"Es ist teuer und darüber hinaus unnötig.","It is expensive and furthermore unnecessary."
entscheiden,to decide,"Wir müssen uns bald entscheiden.","We have to decide soon."
die Angabe,statement / detail,"Alle Angaben sind ohne Gewähr.","All information is subject to change (without guarantee)."
schweben,to float / hover,"Die Wolken schweben über den Bergen.","The clouds are floating above the mountains."
entsprechen,to correspond to,"Das Ergebnis entspricht meinen Erwartungen.","The result corresponds to my expectations."
komischerweise,strangely enough,"Komischerweise habe ich ihn heute nicht gesehen.","Strangely enough, I didn't see him today."
nachholen,to catch up on,"Ich muss den verpassten Stoff nachholen.","I have to catch up on the missed material."
richten (nach + D),to align with / follow,"Ich richte mich ganz nach deinen Wünschen.","I will align myself entirely with your wishes."
abbestellen,to cancel (a sub/order),"Ich habe die Zeitung abbestellt.","I canceled the newspaper subscription."
ausdauernd,persistent / enduring,"Sie ist eine sehr ausdauernde Läuferin.","She is a very enduring runner."
sinkend,decreasing / falling,"Die Preise sind momentan sinkend.","Prices are currently falling."
die Verzeihung,the forgiveness,"Ich bitte vielmals um Verzeihung.","I ask for forgiveness many times over."
verzeihen,to forgive,"Kannst du mir bitte verzeihen?","Can you please forgive me?"
humorvoll,humorous,"Er erzählte eine humorvolle Geschichte.","He told a humorous story."
schüchtern,shy,"Das Kind ist fremden gegenüber schüchtern.","The child is shy towards strangers."
verärgert,angry / annoyed,"Sie war sichtlich verärgert über den Fehler.","She was visibly annoyed about the mistake."
vermeintlich,alleged / supposed,"Es war nur ein vermeintliches Problem.","It was only a supposed problem."
zierlich,delicate / dainty,"Sie hat eine zierliche Figur.","She has a petite figure."
heikel,delicate / awkward,"Das ist eine heikle Angelegenheit.","That is a delicate matter."
die Verteidigung,the defense,"Die Verteidigung des Titels war schwer.","The defense of the title was difficult."
alleinstehend,single / unmarried,"Sie ist eine alleinstehende Frau.","She is a single woman."
verfassen,to write / compose,"Er hat einen langen Brief verfasst.","He wrote a long letter."
die Ferne,the distance,"In der Ferne sah man die Lichter der Stadt.","In the distance, one could see the lights of the city."
flach,flat / shallow,"Das Wasser hier am Ufer ist sehr flach.","The water here at the shore is very shallow."
beklagen,to complain / lament,"Viele Bürger beklagen die hohen Mietpreise.","Many citizens complain about the high rental prices."
der Drehbuchautor,the screenwriter,"Der Drehbuchautor schreibt gerade an einem neuen Krimi.","The screenwriter is currently writing a new thriller."
einleuchtend,illuminating / logical,"Deine Erklärung für das Problem ist absolut einleuchtend.","Your explanation for the problem is absolutely plausible."
die Gegenwartsliteratur,contemporary literature,"In der Uni haben wir viel über Gegenwartsliteratur gelernt.","At university we learned a lot about contemporary literature."
die Vorsorge,precaution / provision,"Regelmäßige Vorsorge ist wichtig für die Gesundheit.","Regular preventive care is important for health."
die Ausrede,the excuse,"Das ist doch nur eine schlechte Ausrede für dein Zuspätkommen!","That is just a bad excuse for your lateness!"
ersetzen,to replace,"Wir müssen die alte Batterie durch eine neue ersetzen.","We have to replace the old battery with a new one."
fressen,to eat (for animals),"Der Hund hat sein Futter in Sekundenschnelle gefressen.","The dog ate its food in seconds."
die Begeisterung,enthusiasm,"Ihre Begeisterung für Musik ist wirklich ansteckend.","Her enthusiasm for music is really contagious."
ernst nehmen,to take seriously,"Du solltest die Warnungen deines Arztes ernst nehmen.","You should take your doctor's warnings seriously."
fordern / fördern,to demand / to promote,"Die Arbeiter fordern mehr Lohn; der Staat fördert Bildung.","The workers demand higher wages; the state promotes education."
gegenwärtig,current / present,"Die gegenwärtige Situation erfordert viel Geduld.","The current situation requires a lot of patience."
souverän,confident / sovereign,"Sie hat die schwierige Prüfung ganz souverän gemeistert.","She mastered the difficult exam quite confidently."
zufällig,accidental / by chance,"Ich habe ihn gestern ganz zufällig im Supermarkt getroffen.","I met him yesterday quite by chance in the supermarket."
zwingen,to force,"Niemand kann dich zwingen, diese Entscheidung zu treffen.","No one can force you to make this decision."
beabsichtigen,to intend,"Wir beabsichtigen, nächstes Jahr nach Kanada zu ziehen.","We intend to move to Canada next year."
gestatten,to allow / permit,"Rauchen ist in diesem Gebäude nicht gestattet.","Smoking is not permitted in this building."
gezwungen sein,to be forced to,"Wegen des Regens waren wir gezwungen, drinnen zu bleiben.","Because of the rain we were forced to stay inside."
der Fettfleck,the grease stain,"Wie bekomme ich diesen Fettfleck aus meiner Krawatte?","How do I get this grease stain out of my tie?"
einschätzen,to assess / estimate,"Es ist schwer, die Kosten für die Renovierung einzuschätzen.","It is difficult to estimate the costs for the renovation."
bereuen,to regret,"Ich habe es nie bereut, diese Reise gemacht zu haben.","I have never regretted taking this trip."
die Konkurrenz,the competition,"Die Konkurrenz auf dem Markt ist momentan sehr groß.","The competition in the market is currently very great."
heimisch,domestic / local,"Wir verwenden für das Essen nur heimische Produkte.","We use only local products for the food."
gewöhnen (sich) (an + A),to get used to,"Ich muss mich erst noch an das frühe Aufstehen gewöhnen.","I still have to get used to getting up early."
Neue Wörter,New words,"Example sentence here","Translation here"
die Anlage,the facility / investment,"Die neue sportliche Anlage ist sehr modern.","The new sports facility is very modern."
der Aufschwung,the upturn / improvement,"Die Wirtschaft erlebt gerade einen großen Aufschwung.","The economy is currently experiencing a major upturn."
aufteilen,to split / divide,"Wir sollten die Kosten für das Abendessen aufteilen.","We should split the costs for dinner."
erwerben,to purchase / acquire,"Er hat das Haus von seinem Onkel erworben.","He acquired the house from his uncle."
überstehen,to withstand / get through,"Wir haben die schwierige Zeit gemeinsam überstanden.","We got through the difficult time together."
überwiegend,prevailing / predominantly,"Die Gäste waren überwiegend mit dem Service zufrieden.","The guests were predominantly satisfied with the service."
verknüpfen,to link / connect,"Man kann Theorie und Praxis in diesem Projekt gut verknüpfen.","One can link theory and practice well in this project."
darstellen,to represent / portray,"Der Schauspieler hat die Rolle sehr überzeugend dargestellt.","The actor portrayed the role very convincingly."
fortlaufen,to run away / continue,"Die Zeit läuft uns langsam fort.","Time is slowly running away from us."
hinfallen,to fall down,"Pass auf, dass du auf dem glatten Eis nicht hinfällst!","Watch out that you don't fall on the slippery ice!"
weglaufen,to run away,"Der Hund ist weggelaufen, als er das Feuerwerk hörte.","The dog ran away when he heard the fireworks."
die Versuchung,the temptation,"Schokolade ist für mich eine große Versuchung.","Chocolate is a great temptation for me."
enthalten,to contain,"Dieser Saft enthält keinen künstlichen Zucker.","This juice contains no artificial sugar."
entstehen,to arise / develop,"Hier soll in den nächsten Jahren ein neuer Park entstehen.","A new park is supposed to arise here in the next few years."
das Vergnügen,the pleasure / fun,"Es war mir ein großes Vergnügen, Sie kennenzulernen.","It was a great pleasure for me to meet you."
verraten,to betray / reveal,"Bitte verrate niemandem mein Geheimnis.","Please don't reveal my secret to anyone."
die Vermutung,the assumption / guess,"Das ist bisher nur eine Vermutung, kein Fakt.","That is so far only an assumption, not a fact."
ekelig,disgusting,"Ich finde den Geruch von altem Fisch total ekelig.","I find the smell of old fish totally disgusting."
herzhaft,hearty / savory,"Nach der Wanderung hatten wir Lust auf ein herzhaftes Essen.","After the hike we felt like a hearty meal."
anregen (zu + Dat),to encourage / stimulate,"Das Buch hat mich zum Nachdenken angeregt.","The book stimulated me to think."
fließen,to flow,"Der Rhein fließt durch mehrere europäische Länder.","The Rhine flows through several European countries."
mühevoll,laborious / arduous,"Die Renovierung des alten Hauses war sehr mühevoll.","The renovation of the old house was very arduous."
verringern,to reduce / decrease,"Wir müssen versuchen, unsere Ausgaben zu verringern.","We must try to reduce our expenses."
schwerfallen,to be difficult (for someone),"Es fällt mir schwer, morgens so früh aufzustehen.","It is difficult for me to get up so early in the morning."
beziehungsweise,or rather / respectively,"Wir treffen uns am Montag bzw. am Dienstag.","We are meeting on Monday or Tuesday, respectively."
Leistungshoch/-tief,performance peak / low,"Nach dem Mittagessen habe ich meistens ein Leistungstief.","After lunch I usually have a performance slump."
verstellen (Uhr),to adjust / move (clock),"Im Frühling wird die Uhr um eine Stunde vorgestellt.","In spring the clock is set forward by one hour."
überfordert,overwhelmed,"Er fühlte sich mit der neuen Aufgabe völlig überfordert.","He felt completely overwhelmed with the new task."
der Gliederungspunkt,the outline point / item,"Kommen wir nun zum nächsten Gliederungspunkt der Präsentation.","Let us now come to the next item of the presentation."
der Absatz,the paragraph / sales,"Bitte lesen Sie den zweiten Absatz auf Seite zehn.","Please read the second paragraph on page ten."
davon,from it / thereof,"Ich habe davon gehört, aber ich weiß keine Details.","I have heard of it, but I don't know any details."
die Ernüchterung,disillusionment / sobering,"Nach dem ersten Erfolg folgte schnell die Ernüchterung.","Disillusionment quickly followed the initial success."
unterbringen,to accommodate,"Wir konnten alle Gäste im Haus unterbringen.","We were able to accommodate all guests in the house."
pflegen,to care for / maintain,"Sie pflegt ihren Garten mit sehr viel Liebe.","She cares for her garden with a lot of love."
fassen,to grasp / seize,"Ich kann dieses Glück kaum fassen.","I can hardly grasp this luck."
gelingen,to succeed,"Der Kuchen ist dir wirklich sehr gut gelungen.","The cake turned out really well for you."
aushängen,to post / unhinge,"Der neue Plan wurde am Schwarzen Brett ausgehängt.","The new plan was posted on the bulletin board."
die Sternschnuppe,the shooting star,"Hast du die Sternschnuppe am Nachthimmel gesehen?","Did you see the shooting star in the night sky?"
die Ansicht,the opinion / view,"Ich bin der Ansicht, dass wir mehr Zeit brauchen.","I am of the opinion that we need more time."
die Überschrift,the heading / title,"Die Überschrift des Artikels ist sehr reißerisch.","The headline of the article is very sensational."
abergläubisch,superstitious,"Er ist sehr abergläubisch und geht nie unter Leitern durch.","He is very superstitious and never walks under ladders."
bloß,just / only / naked,"Ich wollte bloß kurz hallo sagen.","I just wanted to say hello briefly."
greifen,to grasp / reach,"Sie greift nach dem Glas auf dem Tisch.","She reaches for the glass on the table."
die Kaffeekanne,the coffee pot,"Die Kaffeekanne steht fertig in der Küche.","The coffee pot is ready in the kitchen."
das Schicksal,the fate / destiny,"Manchmal muss man sein Schicksal selbst in die Hand nehmen.","Sometimes you have to take your fate into your own hands."
das Missgeschick,the misfortune / mishap,"Ein kleines Missgeschick ruinierte ihr weißes Kleid.","A small mishap ruined her white dress."
der Spiegel,the mirror,"Sie schaute kurz in den Spiegel, bevor sie ging.","She looked briefly in the mirror before she left."
verlaufen,to proceed / run,"Das Gespräch ist sehr positiv verlaufen.","The conversation went very positively."
riesig,huge / giant,"Wir hatten einen riesigen Spaß auf der Party.","We had huge fun at the party."
ständig,constant(ly),"Es regnet hier in letzter Zeit ständig.","It has been raining constantly here lately."
auffällig,conspicuous / flashy,"Sein auffälliges Verhalten machte alle nervös.","His conspicuous behavior made everyone nervous."
gemütlich,cozy / comfortable,"Machen wir es uns im Wohnzimmer gemütlich.","Let's make ourselves comfortable in the living room."
immerhin,anyway / at least,"Es war teuer, aber immerhin ist die Qualität gut.","It was expensive, but at least the quality is good."
die Mauer,the wall,"Die alte Mauer muss dringend repariert werden.","The old wall needs to be repaired urgently."
weitsichtig,long-sighted / far-sighted,"Seine weitsichtige Planung rettete das Unternehmen.","His far-sighted planning saved the company."
wesentlich,considerably / essential,"Das ist ein wesentlicher Punkt in unserer Diskussion.","That is an essential point in our discussion."
laufend,continuous(ly) / current,"Ich halte dich über die laufenden Kosten informiert.","I will keep you informed about the running costs."
widmen,to devote / dedicate,"Sie widmet ihre ganze Freizeit ihrem neuen Hobby.","She devotes all her free time to her new hobby."
ablegen,to put down / take (an exam),"Ich möchte im Sommer meine Sprachprüfung ablegen.","I would like to take my language exam in the summer."
würfeln,to roll a dice,"Wer ist an der Reihe zu würfeln?","Whose turn is it to roll the dice?"
der Würfel,the die (dice),"Der Würfel ist unter den Tisch gefallen.","The die fell under the table."
aufbrechent,to set out / break open,"Wir müssen morgen sehr früh zum Flughafen aufbrechen.","We have to set out for the airport very early tomorrow."
lächerlich,ridiculous / laughable,"Der Preis für dieses alte Auto ist absolut lächerlich.","The price for this old car is absolutely ridiculous."
merkwürdig,strange / odd,"Es ist merkwürdig, dass er heute nicht angerufen hat.","It is strange that he didn't call today."
verzweifelt,desperate,"Sie war verzweifelt, weil sie ihren Schlüssel verloren hatte.","She was desperate because she had lost her key."
der Herzinfarkt,the heart attack,"Er musste nach einem Herzinfarkt im Krankenhaus bleiben.","He had to stay in the hospital after a heart attack."
die Unterhaltung,the conversation / entertainment,"Vielen Dank für die interessante Unterhaltung!","Thank you very much for the interesting conversation!"
die Spannung,the tension / suspense,"Die Spannung im Film war kaum zu ertragen.","The suspense in the film was hard to bear."
andauern,to last / persist,"Der Regen wird vermutlich noch den ganzen Tag andauern.","The rain will probably last the whole day."
geistreich,witty / ingenious,"Er machte eine sehr geistreiche Bemerkung zum Thema.","He made a very witty remark on the topic."
räumen,to clear / vacate,"Wir müssen das Zimmer bis morgen Mittag räumen.","We must vacate the room by noon tomorrow."
der Zeichner,the illustrator / draftsman,"Der Zeichner arbeitet an einem neuen Comic-Heft.","The illustrator is working on a new comic book."
ausschließlich,exclusively,"Dieses Angebot gilt ausschließlich für Neukunden.","This offer applies exclusively to new customers."
einen Gegenvorschlag machen,to make a counterproposal,"Wenn Sie mit dem Preis nicht einverstanden sind, machen Sie bitte einen Gegenvorschlag.","If you do not agree with the price, please make a counterproposal."
den Laptop herunterfahren,to shut down the laptop,"Vergessen Sie nicht, am Feierabend den Laptop herunterzufahren.","Do not forget to shut down the laptop at the end of the workday."
zustimmen,to agree,"Ich kann deinem Plan in allen Punkten zustimmen.","I can agree with your plan on all points."
der Aufkleber,the sticker / label,"Auf dem Paket klebt ein auffälliger roter Aufkleber.","A conspicuous red sticker is stuck to the package."
der Aussteller,the exhibitor / issuer,"Die Aussteller auf der Messe präsentieren ihre neuesten Produkte.","The exhibitors at the trade fair are presenting their latest products."
der Veranstalter,the organizer,"Der Veranstalter hat das Konzert wegen des Regens abgesagt.","The organizer cancelled the concert because of the rain."
einzigartig,unique / one of a kind,"Das Design dieses Gebäudes ist wirklich einzigartig.","The design of this building is truly unique."
das Skonto,cash discount,"Bei Zahlung innerhalb von 7 Tagen gewähren wir 2 % Skonto.","For payment within 7 days we grant a 2% cash discount."
die Vorauszahlung,advance payment,"Für die Reservierung ist eine Vorauszahlung erforderlich.","An advance payment is required for the reservation."
keine Garantie übernehmen,to give no warranty,"Wir können für gebrauchte Waren leider keine Garantie übernehmen.","Unfortunately, we cannot assume any warranty for used goods."
im Anhang,in the attachment,"Die Rechnung finden Sie als PDF-Datei im Anhang dieser E-Mail.","You will find the invoice as a PDF file in the attachment of this email."
der Versand,shipping / dispatch,"Der Versand der Ware erfolgt meist innerhalb von 24 Stunden.","Shipping of the goods usually takes place within 24 hours."
frühestens / höchsten / mindestens,at the earliest / at most / at least,"Das Paket kommt frühestens am Mittwoch bei Ihnen an.","The package will arrive at your place on Wednesday at the earliest."
der Vorwurf,the reproach / accusation,"Er machte ihr den Vorwurf, nicht rechtzeitig informiert zu haben.","He reproached her for not having informed him in time."
etw. bedauern,to regret sth.,"Wir bedauern sehr, dass Sie mit unserem Service unzufrieden sind.","We regret very much that you are dissatisfied with our service."
etw. weitergeben,to pass sth. on,"Können Sie diese Information bitte an Ihre Kollegen weitergeben?","Can you please pass this information on to your colleagues?"
sich in die Situation versetzen,to put oneself in the situation,"Versuchen Sie bitte, sich in die Situation des Kunden zu versetzen.","Please try to put yourself in the customer's situation."
um Verständnis bitten,to ask for understanding,"Wegen der Verspätung bitten wir alle Fahrgäste um Verständnis.","Because of the delay, we ask all passengers for their understanding."
Verständnis zeigen,to show understanding,"Der Chef zeigte viel Verständnis für ihre persönliche Notlage.","The boss showed a lot of understanding for her personal emergency."
einen Fehler beheben,to fix/rectify a mistake,"Unser Techniker wird den technischen Fehler sofort beheben.","Our technician will rectify the technical error immediately."
einen Fehler zugeben,to admit a mistake,"Es gehört Mut dazu, einen eigenen Fehler offen zuzugeben.","It takes courage to openly admit one's own mistake."
widersprechen,to contradict,"Ich muss Ihnen leider widersprechen, die Zahlen stimmen nicht.","Unfortunately I have to contradict you, the numbers are not correct."
die Abmahnung,(formal) warning / reprimand,"Nach dem dritten Zuspätkommen erhielt er eine schriftliche Abmahnung.","After the third late arrival he received a written warning."
die Ausnahmegenehmigung,special permit / exception,"Für das Parken in der Fußgängerzone braucht man eine Ausnahmegenehmigung.","You need a special permit for parking in the pedestrian zone."
Neue Wörter,New words,"Example sentence here","Translation here"
die Zugangsvoraussetzung,Admission requirement,"Was ist die wichtigste Zugangsvoraussetzung für das Studium?","What is the most important admission requirement for the degree program?"
die beglaubigte Kopie,Certified copy,"Ich brauche eine beglaubigte Kopie meines Zeugnisses.","I need a certified copy of my certificate."
die beglaubigte Übersetzung,Certified translation,"Die Behörde verlangt eine beglaubigte Übersetzung der Geburtsurkunde.","The authority requires a certified translation of the birth certificate."
die Spezialisierung,Specialization,"Seine Spezialisierung liegt im Bereich IT-Sicherheit.","His specialization lies in the field of IT security."
die Anforderung,Requirement / Demand,"Die Anforderungen für diesen Job sind sehr hoch.","The requirements for this job are very high."
verhandlungssicher,Business fluent,"Sie spricht verhandlungssicheres Englisch.","She speaks business fluent English."
die ausgeschriebene Stelle,Advertised position,"Ich interessiere mich für die ausgeschriebene Stelle als Manager.","I am interested in the advertised position as manager."
Quittungen aufheben,To keep receipts,"Du solltest alle Quittungen für die Steuer aufheben.","You should keep all receipts for tax purposes."
der Schwindel,Dizziness / Vertigo,"Nach dem Aufstehen fühlte er einen leichten Schwindel.","After getting up, he felt a slight dizziness."
die Übelkeit,Nausea,"Die Tabletten verursachen oft Übelkeit.","The tablets often cause nausea."
vorbeikommen,To drop by / stop by,"Kann ich morgen kurz bei dir vorbeikommen?","Can I drop by your place briefly tomorrow?"
die Haltbarkeit,Shelf life / Durability,"Wie lange ist die Haltbarkeit dieser Milch?","What is the shelf life of this milk?"
der Abdruck,Impression / Print,"Der Zahnarzt macht einen Abdruck von meinen Zähnen.","The dentist is making an impression of my teeth."
die provisorische Füllung,Temporary filling,"Ich habe heute nur eine provisorische Füllung bekommen.","I only got a temporary filling today."
die Kinderbetreuung,Childcare,"Die Kinderbetreuung in dieser Stadt ist sehr teuer.","Childcare in this city is very expensive."
die Konkurrenz,Competition,"Unsere Konkurrenz hat ein neues Produkt auf den Markt gebracht.","Our competition has brought a new product to the market."
das Anliegen,Concern / Request,"Was ist Ihr genaues Anliegen?","What is your exact request?"
der Vorfall,Incident,"Die Polizei unterschreibt den Vorfall von letzter Nacht.","The police are investigating the incident from last night."
derzeitig,Current / Present,"Meine derzeitige Adresse ist in Berlin.","My current address is in Berlin."
der Außentermin,Field appointment / Off-site meeting,"Heute Nachmittag habe ich einen wichtigen Außentermin.","I have an important off-site meeting this afternoon."
das Entgegenkommen,Compromise / Courtesy,"Vielen Dank für Ihr Entgegenkommen bei den Preisverhandlungen.","Thank you for your accommodation during the price negotiations."
die Gleitzeit,Flexitime,"Wir haben Gleitzeit und können zwischen 7 und 10 Uhr anfangen.","We have flexitime and can start between 7 and 10 a.m."
alleinerziehend,Single parent,"Es ist nicht einfach, alleinerziehend zu sein.","It is not easy to be a single parent."
das Gewerbegebiet,Industrial estate / Business park,"Unsere Firma befindet sich im Gewerbegebiet am Stadtrand.","Our company is located in the industrial estate on the outskirts."
zustimmen,To agree,"Ich kann deiner Meinung nur zustimmen.","I can only agree with your opinion."
erstaunlich,Amazing / Astonishing,"Es ist erstaunlich, wie schnell er Deutsch lernt.","It is astonishing how quickly he learns German."
belästigen,To bother / To harass,"Entschuldigung, ich möchte Sie nicht belästigen.","Excuse me, I do not want to bother you."
bestreiten,To deny / To dispute,"Er bestreitet, das Geld genommen zu haben.","He denies having taken the money."
vorhersagbar,Predictable,"Das Ende des Films war leider sehr vorhersagbar.","The end of the movie was unfortunately very predictable."
widerwillig,Reluctant / Unwilling,"Er hat die Hausarbeit nur widerwillig erledigt.","He did the housework only reluctantly."
einstürzen,To collapse,"Das alte Gebäude droht einzustürzen.","The old building threatens to collapse."
aufladen,To recharge / To load,"Ich muss mein Handy dringend aufladen.","I urgently need to recharge my cell phone."
sichern,To back up / To secure,"Vergiss nicht, deine Daten regelmäßig zu sichern.","Don't forget to back up your data regularly."
die Gesellschaft,Society / Company,"Wir leben in einer modernen Gesellschaft.","We live in a modern society."
überwältigend,Overwhelming,"Die Aussicht von den Bergen war überwältigend.","The view from the mountains was overwhelming."
bedeutend,Significant / Important,"Das ist eine bedeutende Entdeckung für die Wissenschaft.","That is a significant discovery for science."
vertraulich,Confidential,"Diese Informationen sind streng vertraulich.","This information is strictly confidential."
die Übereinstimmung,Agreement / Consensus,"Wir haben in diesem Punkt eine volle Übereinstimmung.","We have full agreement on this point."
die Falle,Trap,"Er ist direkt in die Falle getappt.","He walked right into the trap."
rein,Purely / Clean,"Das war eine reine Vorsichtsmaßnahme.","That was purely a precautionary measure."
beschäftigen,To employ / To occupy,"Die Firma beschäftigt über 500 Mitarbeiter.","The company employs over 500 employees."
mehr als / weniger als,More than / Less than,"Das kostet mehr als zwanzig Euro.","That costs more than twenty euros."
die Hälfte,Half,"Die Hälfte des Kuchens ist schon weg.","Half of the cake is already gone."
jeder Zehnte,One in ten,"Fast jeder Zehnte in der Klasse ist heute krank.","Almost one in ten in the class is sick today."
ein Drittel,One third,"Ein Drittel der Teilnehmer kommt aus Berlin.","One third of the participants come from Berlin."
Pflicht sein,To be mandatory,"In Deutschland ist die Schulpflicht gesetzlich geregelt.","In Germany, compulsory schooling is regulated by law."
die Schwäche,Weakness,"Jeder Mensch hat seine Stärken und Schwächen.","Every human has their strengths and weaknesses."
der Arbeitsablauf,Workflow,"Wir müssen den Arbeitsablauf im Büro verbessern.","We must improve the workflow in the office."
die Berechtigung,Authorization / Entitlement,"Haben Sie die Berechtigung, dieses Gebäude zu betreten?","Do you have the authorization to enter this building?"
unbewacht,Unguarded / Unsupervised,"Lassen Sie Ihr Gepäck nie unbewacht.","Never leave your luggage unattended."
flüstern,To whisper,"Sie flüsterten leise in der Bibliothek.","They whispered quietly in the library."
ohne Weiteres,Just like that / Without further ado,"Ich kann das nicht ohne Weiteres entscheiden.","I cannot decide that just like that."
der Knöchel,Ankle,"Ich bin beim Laufen mit dem Knöchel umgeknickt.","I twisted my ankle while running."
der Knochen,Bone,"Der Arzt prüfte, ob der Knochen gebrochen ist.","The doctor checked if the bone is broken."
die Brust,Chest / Breast,"Er spürte einen starken Druck in der Brust.","He felt a strong pressure in his chest."
das Kinn,Chin,"Sie hat ein markantes Kinn.","She has a striking chin."
die Hüfte,Hip,"Nach dem Sturz hatte er Schmerzen in der Hüfte.","After the fall, he had pain in his hip."
die Niere,Kidney,"Trinken ist wichtig für die Nieren.","Drinking is important for the kidneys."
die Leber,Liver,"Alkohol schadet der Leber.","Alcohol damages the liver."
die Lunge,Lung,"Atmen Sie tief in die Lunge ein.","Breathe deeply into your lungs."
die Haut,Skin,"Im Sommer muss man die Haut vor der Sonne schützen.","In summer one must protect the skin from the sun."
der Schenkel,Thigh,"Er hat sich eine Zerrung am Schenkel zugezogen.","He pulled a muscle in his thigh."
die Zunge,Tongue,"Der Arzt sagte: „Zeigen Sie mir bitte Ihre Zunge.“","The doctor said: 'Please show me your tongue.'"
die Ader,Vein / Artery,"Man kann die Adern an seinen Händen sehen.","One can see the veins on his hands."
das Handgelenk,Wrist,"Ich trage meine Uhr am linken Handgelenk.","I wear my watch on my left wrist."
verdrehen,To twist / To sprain,"Ich habe mir beim Sport das Knie verdreht.","I twisted my knee while playing sports."
das Bewusstsein verlieren,To lose consciousness,"Er verlor nach dem Unfall kurz das Bewusstsein.","He briefly lost consciousness after the accident."
der Mangel,Lack / Deficiency,"Es herrscht ein Mangel an Fachkräften.","There is a shortage of skilled workers."
der Ursprung,Origin / Source,"Die Geschichte hat ihren Ursprung im Mittelalter.","The story has its origin in the Middle Ages."
die Übernahme,Takeover / Acquisition,"Die Übernahme der Firma war erfolgreich.","The takeover of the company was successful."
nagelneu,Brand new,"Ich habe mir ein nagelneues Fahrrad gekauft.","I bought myself a brand new bicycle."
