der Kojote,coyote,"Small to medium size mammals such as rabbits and coyotes.","Kleine bis mittelgroße Säugetiere wie Kaninchen und Kojoten."
ausrangiert / weggeworfen,discarded,"The oceans now have a huge amount of discarded plastic in them.","In den Ozeanen befindet sich mittlerweile eine riesige Menge an weggeworfenem Plastik."
die Ausrottung / das Aussterben,extinction,"Efforts to save the species from extinction.","Bemühungen, die Art vor dem Aussterben zu retten."
der Falke,falcon,"The Peregrine is a large and powerful falcon.","Der Wanderfalke ist ein großer und mächtiger Falke."
Mach voran! / sich beeilen,to get a move on,"If we get a move on we can still catch the early train.","Wenn wir uns beeilen, können wir noch den frühen Zug erwischen."
etw. bewegen (Gegenstand),to move (object),"Can you move your briefcase away from the door.","Kannst du deine Aktentasche von der Tür wegbewegen."
etw. bewegen (emotional),to move (emotion),"The song moved her to tears.","Das Lied rührte sie zu Tränen."
einziehen,to move in,"Our new neighbours moved in last week.","Unsere neuen Nachbarn sind letzte Woche eingezogen."
wegfahren / losfahren,to move off,"Make sure you indicate and look behind you before you move off.","Vergewissere dich, dass du blinkst und nach hinten schaust, bevor du losfährst."
wieder zu etw. übergehen / weitermachen,to move on,"Sometimes, it's better to admit you were wrong and then just move on.","Manchmal ist es besser zuzugeben, dass man falsch lag, und dann einfach weiterzumachen."
ausziehen,to move out,"We thought we'd rented a flat, but the previous tenant refused to move out.","Wir dachten, wir hätten eine Wohnung gemietet, aber der Vormieter weigerte sich auszuziehen."
hinüberrutschen / Platz machen,to move over,"Could you move over so I can sit down please?","Könntest du rüberrutschen, damit ich mich hinsetzen kann, bitte?"
herabstoßen,to swoop,"The eagle swooped down towards the goat.","Der Adler stieß auf die Ziege herab."
schüchtern / zaghaft,timid,"The cat was so timid it ran into the garden every time visitors came.","Die Katze war so scheu, dass sie jedes Mal in den Garten rannte, wenn Besucher kamen."
auf Zehenspitzen gehen,to tiptoe,"I tiptoed to the top of the stairs.","Ich ging auf Zehenspitzen zum oberen Ende der Treppe."
diskriminieren,to discriminate,"It's illegal to discriminate against people because of their religious beliefs.","Es ist illegal, Menschen wegen ihres religiösen Glaubens zu diskriminieren."
ausgenommen / befreit,exempted,"Farmers are exempted from inheritance tax.","Landwirte sind von der Erbschaftssteuer befreit."
der Einwand,objection,"Despite our objections, the chairman went ahead with the plan.","Trotz unserer Einwände setzte der Vorsitzende den Plan fort."
das Randgebiet / der Stadtrand,outskirts,"It was dark when we reached the outskirts of Edinburgh.","Es war dunkel, als wir den Stadtrand von Edinburgh erreichten."
versiegelt / verschlossen,sealed,"The money was kept in a sealed envelope.","Das Geld wurde in einem versiegelten Umschlag aufbewahrt."
der Wille,will,"She'd always had a strong will.","Sie hatte schon immer einen starken Willen."
verflucht,cursed,"I think we must be cursed.","Ich glaube, wir müssen verflucht sein."
diktieren / vorschreiben,to dictate,"The weather tends to dictate my moods.","Das Wetter bestimmt tendenziell meine Laune."
auf wundersame Weise,miraculously,"He miraculously survived by holding onto a tree.","Er überlebte wie durch ein Wunder, indem er sich an einem Baum festhielt."
der Umfang / Rahmen,scope,"A detailed account of the events is outside the scope of this article.","Eine detaillierte Darstellung der Ereignisse sprengt den Rahmen dieses Artikels."
die Jacht,yacht,"A luxury yacht can cost millions of pounds.","Eine Luxusjacht kann Millionen von Pfund kosten."
